"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5355","Excel Download , Upload and Operation Test","","2026-05-07","passed","2026-05-07","","UIUploadDownloadExcelOp.spec.js","",""
"","1970","Playwright client web Test 2","","2026-05-07","passed","2026-05-07","","UiAPIStorageState.spec.js","",""
"","14493","Playwright client web Test Locator using POM ZARA COAT 3","","2026-05-07","passed","2026-05-07","","UiClientTestPOM.spec.js","",""
"","30115","Booking login Test","","2026-05-07","broken","2026-05-07","","UIBookingAssignmentTest.spec.js","",""
"","4150","@API Test 1 — Banner IS visible when 6 events are returned","","2026-05-07","passed","2026-05-07","","UIAPIAssignments.spec.js","",""
"","8459","@API Test 2 — Banner is NOT visible when 4 events are returned","","2026-05-07","passed","2026-05-07","","UIAPIAssignments.spec.js","",""
"","15100","Playwright client web Test Locator using POM with test datafixture","","2026-05-07","passed","2026-05-07","","UiClientTestPOM.spec.js","",""
"","13235","Test 2 — Group ticket booking is NOT eligible for refund","","2026-05-07","passed","2026-05-07","","UIRefundAssignmentTest.spec.js","",""
"","14445","Test 1 Single ticket booking is eligible for refund","","2026-05-07","passed","2026-05-07","","UIRefundAssignmentTest.spec.js","",""
"","9648","Hidden Elements validation","","2026-05-07","passed","2026-05-07","","UIValidations.spec.js","",""
"","13015","Playwright Calender Test","","2026-05-07","passed","2026-05-07","","UICalender.spec.js","",""
"","11797","test Codgen and inspectar capabilities","","2026-05-07","passed","2026-05-07","","UiCodgenInspectorTest.spec.js","",""
"","13647","@API Security Testing using API","","2026-05-07","passed","2026-05-07","","UIAPIAssignment2.spec.js","",""
"","11937","Playwright client web Test","","2026-05-07","passed","2026-05-07","","UiClientTest.spec.js","",""
"","12482","Playwright client web Test Locator using POM ADIDAS ORIGINAL","","2026-05-07","passed","2026-05-07","","UiClientTestPOM.spec.js","",""
"","6690","Child window handling","","2026-05-07","passed","2026-05-07","","UiFirstTest.spec.js","",""
"","9035","Playwright client web Test Locator","","2026-05-07","passed","2026-05-07","","UiClientTestUsingLocators.spec.js","",""
"","5838","@API Playwright request interception using APi","","2026-05-07","passed","2026-05-07","","UIAPIinterceptRequest.spec.js","",""
"","6914","@API Playwright Api Request Abort and Page on method","","2026-05-07","passed","2026-05-07","","UIAPIAbortRequestAndPageOn.spec.js","",""
"","9445","Page Playwright Test","","2026-05-07","passed","2026-05-07","","UiFirstTest.spec.js","",""
"","3948","@API Playwright client web Test API","","2026-05-07","passed","2026-05-07","","UIAPIinterceptResponse.spec.js","",""
"","7040","UI Control Test","","2026-05-07","passed","2026-05-07","","UiFirstTest.spec.js","",""
"","3161","taking screenthot","","2026-05-07","passed","2026-05-07","","UIValidations.spec.js","",""
"","11952","@API Playwright client web Test API","","2026-05-07","passed","2026-05-07","","UiAPITesting.spec.js","",""
"","2696","visual testing using screenthot","","2026-05-07","passed","2026-05-07","","UIValidations.spec.js","",""
"","7849","@API Playwright client web Test 1","","2026-05-07","passed","2026-05-07","","UiAPIStorageState.spec.js","",""
"","8953","Playwright Locator Test","","2026-05-07","passed","2026-05-07","","UILocator.spec.js","",""
"","11554","BrowserContext Playwright Test","","2026-05-07","passed","2026-05-07","","UiFirstTest.spec.js","",""
